Sku,Each Locations,Case Pick Locations,Reserve Locations,Unit Quantity,Case Pick Quantity,Reserve Quantity,Units To Be Picked Quantity,Case Pick To Be Picked Quantity,Reserve To Be Picked Quantity,Unit Replenishment Quantity,Case Pick Replenishment Quantity,Standard Pack Quantity,Packs Per Case,Standard Case Quantity,Packs Per Layer,Layers,Case Pick Maximum,Case Pick Minimum,Unit Maximum,Unit Minimum,Put Away Zone,Active Country Of Origin,Reserve Country Of Origin
501,51-432D,,18-039F,7,,22,0,,0,0,,4,36,144,9,4,,,6,2,RS6,,
501-30,51-430C,,"21-439-2-1, 21-441-2-2, 21-441-3-2",9,,"27, 36, 32",0,,"0, 0, 0",0,,4,36,144,9,4,,,6,2,VNA,,
501-W,60-903-5-2,06-265-1-2,"05-463-2-2, 05-465-2-2, 05-465-4-2, 40-698-1-1",2,62,"32, 36, 36, 540",0,0,"0, 0, 0, 0",0,0,4,36,144,9,4,288,144,6,2,005,,
60-21A,51-410E,,01-173F,19,,219,0,,0,0,,1,40000,40000,4000,10,,,24,12,"01R, EAE, EAW",,
6020,55-902-4-1,,18-180E,3,,36,0,,0,0,,6,50,300,25,2,,,9,3,VNA,TW,TW
6021,61-908-2-3,,16-453-6-1,24,,2,0,,0,0,,6,156,936,39,4,,,24,12,VNA,CN,CN
61-W,51-200J,,14-403-5-2,13,,3,0,,0,0,,12,300,3600,30,10,,,18,6,VNA,,
65-35A,51-288J,,01-198I,11,,204,0,,0,0,,1,2000,2000,200,10,,,12,6,"01R, EAE, EAW",,
65-W30,52-416C,,"01-129A, 01-147A",18,,"132, 138",0,,"0, 0",0,,1,405,405,45,9,,,36,18,"01R, EAE, EAW",,
66-30,51-260B,,17-021D,13,,45,0,,0,0,,12,270,3240,27,10,,,16,4,RS6,,
66-W,51-490C,,"02-238A, 02-238H",61,,"54, 29",0,,"0, 0",0,,12,300,3600,30,10,,,72,36,RS2,,
764640 PART,,80-161A,82-120D,,2,9,,0,0,,0,20,20,400,20,1,,,,,1D1,,
764654 PART,,80-163B,85-106A,,4,6,,0,0,,0,20,20,400,20,1,,,,,1D1,,
99027,51-439B,,01-192B,2440,,4000,0,,0,0,,1,160000,160000,40000,4,,,2700,200,"01R, EAE, EAW",,
99549,51-459A,,01-188B,653,,4695,0,,0,0,,1,144000,144000,48000,3,,,1200,200,"01R, EAE, EAW",,
99549-F,51-445A,,01-194G,950,,1300,0,,0,0,,1,144000,144000,48000,3,,,1200,200,"01R, EAE, EAW",,
99549-S,51-449A,,01-194G,1100,,1300,0,,0,0,,1,144000,144000,48000,3,,,1200,200,"01R, EAE, EAW",,
99835,51-471B,,01-192B,1350,,738,0,,0,0,,1,160000,160000,40000,4,,,2700,200,"01R, EAE, EAW",,
99966,51-479E,,01-151C,0,,4500,0,,0,0,,1,67200,67200,12,7,,,900,100,"01R, EAE, EAW",,
AB3349,,80-163A,82-128A,,11,10,,0,0,,0,1,1400,1400,56,25,,,,,1D1,,
AD1,21-903-1-1,,04-014A,3,,25,0,,0,0,,4,72,288,12,6,,,6,2,RS2,TR,TR
AF1012,,11-464-6-1,21-439-1-2,,42,4,,0,0,,0,1,48,48,16,3,48,24,,,2D1,,
AF1013,,"11-408-3-1, 23-414-2-1",16-452-2-1,,"7, 3",24,,"0, 0",0,,"0, 0",1,24,24,12,2,24,12,,,2DF,,
AF1014F,,81-623A,42-680-1-1,,6,333,,0,0,,0,1,150,150,30,5,,,,,1D1,MX,MX
AF1015,53-902-2-1,,16-471-6-1,3,,3,0,,0,0,,6,35,210,7,5,,,8,2,VNA,IL,IL
AF1017,17-907-3-2,,"01-090F, 01-145A",17,,"20, 16",0,,"0, 0",0,,1,576,576,72,8,,,18,9,EAR,MX,"MX, MX"
AF101K,,11-468-5-2,"--1-1, 33-621-1-1",,28,"2, 25",,0,"2, 0",,2,1,48,48,16,3,27,144,,,2DF,,
AF1024,58-908-1-1,,20-471-5-2,4,,4,0,,0,0,,6,90,540,15,6,,,8,2,VNA,MX,MX
AF1025,47-303G,,15-408-2-1,4,,22,0,,0,0,,6,224,1344,28,8,,,8,2,VNA,,
AF1026,54-908-3-2,,"15-457-5-1, 15-457-5-2",7,,"69, 91",0,,"0, 0",0,,6,96,576,16,6,,,10,4,VNA,CN,"CN, CN"
AF1027,63-909-5-1,,15-408-4-1,1,,2,0,,0,0,,6,65,390,13,5,,,8,2,VNA,,
AF1028,22-908-5-2,,14-458-5-1,11,,41,0,,0,0,,6,72,432,12,6,,,14,8,VNA,CN,CN
AF103,,13-409-1-2,"21-437-5-2, 53-650-1-1",,12,"18, 12",,0,"0, 0",,0,1,18,18,9,2,18,9,,,2DF,,
AF1030,20-907-3-1,,01-114B,8,,32,0,,0,0,,6,85,510,17,5,,,12,6,RS4,MA,MA
AF1031,15-905-4-3,,"18-179A, 99-999Z",7,,"33, 1",0,,"0, 1",6,,6,96,576,16,6,,,14,8,VNA,MA,"MA, MA"
AF1032,15-907-2-2,12-463-3-2,48-612-1-1,11,41,108,0,0,0,0,0,6,72,432,12,6,,,8,2,2DF,MA,MA
AF1033,02-904-2-5,,17-110B,26,,6,0,,0,0,,6,45,270,22,2,,,30,18,VNA,MX,MX
AF1034,19-901-4-1,,17-176B,9,,11,0,,0,0,,6,75,450,25,3,,,12,6,VNA,CN,CN
AF1035,22-908-5-1,,19-476-6-1,4,,13,0,,0,0,,6,32,192,8,4,,,8,2,VNA,MX,MX
AF1036,24-910-3-2,,19-450-3-1,2,,11,0,,0,0,,6,55,330,11,5,,,9,3,VNA,CN,CN
AF1037,25-901-4-4,,19-749A,6,,36,0,,0,0,,6,60,360,12,5,,,12,6,RS8,MX,MX
AF1038,56-901-1-1,,16-469-5-1,7,,21,0,,0,0,,6,90,540,15,6,,,10,4,VNA,CN,CN
AF1039,10-908-4-1,,17-137A,14,,13,0,,0,0,,6,35,210,7,5,,,12,6,VNA,KR,KR
AF104,,11-430-2-2,32-646-1-1,,31,60,,0,0,,0,1,60,60,20,3,60,30,,,2DF,,
AF1040,15-904-2-1,11-444-1-1,"21-434-2-2, 21-439-6-1",4,59,"23, 60",0,0,"0, 0",0,0,6,60,360,12,5,360,180,8,2,2DF,MA,"MA, MA"
AF1041,20-903-3-2,,"17-181F, 19-849B",5,,"75, 1",0,,"0, 0",0,,6,75,450,15,5,,,8,2,RS8,CN,"CN, CN"
AF1042,62-907-2-1,,15-409-1-1,4,,22,0,,0,0,,6,48,288,16,3,,,10,4,VNA,MX,MX
AF1044,22-908-1-1,,"18-122B, 18-161E, 18-189B",10,,"62, 73, 77",0,,"0, 0, 0",0,,6,92,552,23,4,,,12,6,RS8,MA,"MA, MA, MA"
AF1045,41-469D,,17-151F,10,,42,0,,0,0,,6,45,270,15,3,,,15,9,RS8,CN,CN
AF1046,54-905-4-3,,19-797B,7,,2,0,,0,0,,6,56,336,14,4,,,9,3,VNA,AT,AT
AF1048,11-908-1-1,,"14-436-1-2, 18-170F",7,,"37, 21",0,,"0, 0",0,,6,54,324,9,6,,,13,7,VNA,MX,"MX, MX"
AF1049,19-903-2-1,,20-471-6-1,6,,9,0,,0,0,,6,48,288,12,4,,,9,3,VNA,CN,CN
AF1051,20-907-2-3,,16-469-5-2,3,,6,0,,0,0,,6,54,324,9,6,,,8,2,VNA,AT,AT
AF1052,02-916-4-7,02-355-1-1,"01-455-6-1, 01-457-1-2, 50-648-1-1, 50-655-1-1",2,48,"36, 23, 324, 144",0,1,"0, 0, 0, 0",0,0,6,36,216,9,4,432,216,8,2,001,MA,"MA, MA, MA, MA"
AF1052CO,,07-160-1-1,"08-460-1-1, 08-460-2-1, 53-614-1-1",,67,"36, 35, 36",,1,"0, 0, 0",,0,6,36,216,9,4,432,216,,,008,MA,"MA, MA, MA"
AF1054,41-233E,,16-471-5-1,6,,4,0,,0,0,,6,36,216,6,6,,,11,5,VNA,CN,CN
AF1055,41-470E,,01-112C,9,,5,0,,0,0,,6,24,144,6,3,,,10,4,RS4,FR,FR
AF1056,41-417D,,01-096E,6,,6,0,,0,0,,6,72,432,12,6,,,12,6,RS2,JP,JP
AF1058,66-908-4-3,,14-418-5-2,2,,12,0,,0,0,,6,36,216,6,6,,,8,2,VNA,DE,DE
AF1060,13-910-1-1,,19-550A,8,,21,0,,0,0,,6,36,216,9,4,,,12,6,VNA,DE,DE
AF1062,23-901-3-1,,16-462-5-2,8,,8,0,,0,0,,6,72,432,12,6,,,10,4,VNA,CN,CN
AF1063,23-910-5-2,,19-450-1-1,7,,6,0,,0,0,,6,80,480,16,5,,,12,6,VNA,CN,CN
AF107,41-468E,,14-418-4-2,6,,12,0,,0,0,,4,29,116,29,1,,,6,2,VNA,,
AF1070,17-910-2-1,,17-151A,5,,36,0,,0,0,,6,105,630,35,3,,,8,2,VNA,CN,CN
AF1071,09-903-1-1,,18-171B,15,,19,0,,0,0,,6,54,324,9,6,,,19,13,VNA,CN,CN
AF1072,,68-075A,82-132B,,122,159,,0,0,,0,1,392,392,56,7,,,,,1D1,CN,CN
AF1073,66-908-5-2,,19-473-6-2,7,,25,0,,0,0,,6,60,360,20,3,,,8,2,VNA,CN,CN
AF1074,10-902-3-1,,03-189E,11,,28,0,,0,0,,6,72,432,12,6,,,14,8,VNA,CN,CN
AF1075,09-902-5-1,,02-773E,8,,16,0,,0,0,,6,60,360,12,5,,,12,6,VNA,BG,BG
AF1077,20-909-4-1,,19-473-6-1,5,,6,0,,0,0,,6,65,390,13,5,,,11,5,VNA,CN,CN
AF1079,19-909-3-2,,17-110E,1,,38,0,,0,0,,6,72,432,18,4,,,8,2,RS8,MX,MX
AF108,,07-122-2-5,"09-443-5-2, 18-058E",,11,"65, 36",,0,"0, 0",,0,1,36,36,12,3,12,6,,,009,,
AF1080,02-922-4-1,,"19-460-3-1, 19-460-3-2",5,,"45, 6",0,,"0, 0",0,,6,45,270,15,3,,,8,2,VNA,MA,"MA, MX"
AF1082,23-904-3-3,,19-814A,4,,5,0,,0,0,,6,84,504,12,7,,,8,2,VNA,CN,CN
AF1084,19-910-2-3,,19-757A,11,,19,0,,0,0,,6,72,432,24,3,,,12,6,RS8,MX,MX
AF1085,"20-903-2-1, 42-242D",,19-454-1-1,"0, 13",,4,"0, 0",,0,"0, 0",,6,65,390,13,5,,,12,6,VNA,BG,BG
AF1086,17-902-2-2,,02-125C,9,,12,0,,0,0,,6,72,432,12,6,,,10,4,VNA,MX,MX
AF1087,63-904-2-2,,14-418-2-1,5,,2,0,,0,0,,6,36,216,9,4,,,8,2,VNA,FR,FR
AF1089,65-908-4-2,,15-408-2-2,6,,11,0,,0,0,,6,36,216,9,4,,,8,2,VNA,DE,DE
AF1091,63-909-3-2,,15-408-3-2,5,,2,0,,0,0,,6,50,300,10,5,,,8,2,VNA,DE,DE
AF1092,63-909-3-3,,14-414-2-1,9,,15,0,,0,0,,6,60,360,20,3,,,8,2,VNA,,
AF1093,23-901-1-3,,19-477-6-1,7,,6,0,,0,0,,6,44,264,11,4,,,9,3,VNA,DE,DE
AF1094,57-907-4-1,,19-477-5-2,7,,4,0,,0,0,,6,50,300,10,5,,,12,6,VNA,DE,DE
AF1097,54-906-5-2,,19-472-5-1,2,,2,0,,0,0,,6,36,216,6,6,,,8,2,VNA,DE,DE
AF1098,63-906-3-2,,15-408-6-1,3,,2,0,,0,0,,6,40,240,8,5,,,8,2,VNA,DE,DE
AF110,21-905-1-2,12-401-4-1,53-627-1-1,5,8,36,0,0,0,0,0,6,12,72,4,3,,,11,5,2DF,MX,MX
AF1101,15-906-3-2,,"16-454-1-2, 17-135D",9,,"30, 26",0,,"0, 0",0,,6,60,360,20,3,,,12,6,VNA,MX,"MX, MX"
AF1102,20-904-3-1,,19-501I,6,,22,0,,0,0,,6,72,432,12,6,,,8,2,RS8,CN,CN
AF1103,13-910-2-1,07-110-2-1,"09-443-5-1, 18-094A, 18-096B",1,4,"42, 67, 39",0,0,"0, 0, 0",0,0,6,80,480,16,5,48,24,8,2,009,MA,"MA, MA, MA"
AF1103CO,,13-409-2-1,21-447-6-2,,79,23,,0,0,,0,6,80,480,20,4,480,240,,,2DF,MA,MA
AF1104,56-903-5-3,,19-469-6-1,3,,6,0,,0,0,,6,72,432,12,6,,,9,3,VNA,CN,CN
AF1106,13-905-1-1,,"13-139M, 19-509A, 69-102A",5,,"17, 38, 40",1,,"1, 0, 0",6,,6,65,390,13,5,,,11,5,VNA,CN,"CN, TW, TW"
AF1107,12-906-5-1,,"16-460-1-2, 19-717D",14,,"19, 18",0,,"0, 0",0,,6,72,432,24,3,,,16,10,VNA,CN,"CN, CN"
AF1109,,03-116-1-2,"04-416-1-1, 04-418-2-1, 53-680-1-1",,166,"168, 168, 336",,0,"0, 0, 0",,0,1,168,168,56,3,336,168,,,004,,
AF1112,15-905-5-1,11-466-2-1,48-643-1-1,7,30,114,0,0,0,0,0,6,60,360,10,6,360,180,8,2,2DF,MA,MA
AF1113,41-223E,,18-139B,10,,18,0,,0,0,,6,63,378,9,7,,,12,6,RS8,CN,CN
AF1116,14-905-3-2,,"17-121C, 17-174F",17,,"48, 60",0,,"0, 0",0,,6,72,432,12,6,,,18,12,VNA,KR,"KR, KR"
AF1119,16-905-5-1,,"20-476-5-2, 21-459-6-1, 22-474-2-2, 22-477-2-1",2,,"32, 16, 36, 18",0,,"0, 0, 0, 0",0,,6,36,216,9,4,,,8,2,VNA,MA,"MA, MA, MA, MA"
AF1119CO,,12-414-3-2,15-454-4-1,,29,4,,0,0,,0,6,36,216,9,4,,,,,2DF,MA,MA
AF112,56-901-4-2,,19-467-4-2,5,,26,0,,0,0,,6,84,504,14,6,,,8,2,VNA,MX,MX
AF1122,41-409E,,19-454-2-2,5,,4,0,,0,0,,6,60,360,12,5,,,8,2,VNA,BG,BG
AF1123,20-905-4-1,,19-472-4-1,7,,4,0,,0,0,,6,54,324,9,6,,,12,6,VNA,DE,DE
AF1124,22-901-5-2,,19-452-1-1,3,,8,0,,0,0,,6,40,240,8,5,,,8,2,VNA,DE,DE
AF1125,15-908-2-3,07-144-2-2,"18-126A, 19-165F, 19-405I",2,4,"51, 32, 31",0,0,"0, 0, 0",0,0,6,60,360,12,5,42,24,8,2,009,MA,"MA, MA, MA"
AF1126,19-908-1-3,,02-146B,5,,10,0,,0,0,,6,72,432,12,6,,,11,5,VNA,CN,CN
AF1127,23-902-3-2,11-424-6-1,53-647-1-1,10,36,18,0,0,0,0,0,6,36,216,9,4,216,108,12,6,2DF,MX,MX
AF1128,16-904-2-1,07-162-2-3,"14-434-5-2, 22-477-3-1",5,1,"22, 24",0,0,"0, 0",0,0,6,36,216,12,3,36,18,8,2,VNA,MX,"MX, MX"
AF1131,22-901-5-3,,19-476-5-1,5,,54,0,,0,0,,6,60,360,20,3,,,8,2,VNA,CN,CN
AF1132,16-904-3-1,,"02-133B, 02-461B",10,,"8, 5",0,,"0, 0",0,,6,54,324,9,4,,,12,6,VNA,BG,"BG, BG"
AF1133,15-903-4-2,03-350-2-1,09-453-3-2,10,7,"13, 51",0,0,0,0,0,6,60,360,12,5,72,36,8,2,009,CN,CN
AF1139,07-909-1-1,07-116-1-2,"08-404-6-1, 08-412-3-1, 08-476-2-1",0,53,"33, 33, 33",0,0,"0, 0, 0",0,0,6,33,198,11,3,396,198,11,5,008,MX,"MX, MX, MX"
AF114,57-905-5-1,,19-693B,5,,2,0,,0,0,,6,84,504,14,6,,,8,2,VNA,MX,MX
AF1140,58-902-5-2,,14-404-5-1,4,,16,0,,0,0,,6,40,240,20,2,,,8,2,VNA,MX,MX
AF1141,19-909-5-2,,17-094E,12,,19,0,,0,0,,6,75,450,15,5,,,14,8,RS6,CN,CN
AF1143,65-909-3-2,,15-408-3-1,8,,13,0,,0,0,,6,42,252,6,7,,,8,2,VNA,DE,DE
AF1144,02-904-4-9,,03-122B,29,,13,0,,0,0,,6,39,234,13,3,,,30,18,VNA,KR,KR
AF1158,64-902-4-2,,14-418-3-2,2,,9,0,,0,0,,6,50,300,10,5,,,8,2,VNA,DE,DE
AF1159,41-234D,,19-598E,23,,11,0,,0,0,,6,72,432,12,6,,,24,18,RS8,CN,CN
AF1162,15-910-4-1,,"18-042E, 19-225B",5,,"4, 12",0,,"0, 0",0,,6,54,324,9,6,,,10,4,VNA,MX,"MX, MX"
AF1163,11-905-4-1,07-112-2-2,"09-451-5-1, 18-115A",6,9,"56, 4",0,0,"0, 0",0,0,6,48,288,12,4,42,24,8,2,009,CN,"CN, CN"
AF1166,16-904-5-2,,"19-650C, 19-657B",5,,"7, 6",0,,"0, 0",0,,6,96,576,16,6,,,10,4,VNA,BG,"BG, IL"
AF1168,13-909-5-2,,"19-448-2-1, 19-809C",11,,"4, 4",0,,"0, 0",0,,12,77,924,7,11,,,18,6,VNA,TW,"TW, TW"
AF1173,,03-342-2-1,40-625-1-1,,10,201,,0,0,,0,1,24,24,12,2,14,7,,,5DF,,
AF118,,12-427-2-1,"17-121A, 17-142C",,25,"5, 15",,0,"0, 0",,0,1,24,24,12,2,,,,,2DF,,
AF1184,,03-170-1-2,04-452-1-2,,81,84,,0,0,,0,1,84,84,42,2,168,84,,,004,,
AF1188,60-907-2-4,,01-189D,14,,17,0,,0,0,,1,1001,1001,143,7,,,24,12,EAR,ZA,ZA
AF119,56-906-5-2,,19-473-5-2,4,,2,0,,0,0,,6,35,210,5,7,,,8,2,VNA,MX,MX
AF1197,,07-140-2-6,09-425-2-2,,4,45,,0,0,,0,1,30,30,15,2,8,4,,,009,,
AF1199,61-901-1-2,,19-765C,3,,3,0,,0,0,,6,65,390,13,5,,,8,2,VNA,IL,IL
AF1200,65-909-4-3,,15-408-4-2,1,,4,0,,0,0,,6,80,480,16,5,,,8,2,VNA,IL,IL
AF1201,62-909-3-3,,14-418-4-1,4,,2,0,,0,0,,6,48,288,12,4,,,8,2,VNA,IL,IL
AF1202,63-904-5-1,,15-407-6-2,8,,9,0,,0,0,,6,50,300,10,5,,,10,4,VNA,IL,IL
AF1208,42-404D,,"19-605E, 19-725A",11,,"20, 32",0,,"0, 0",0,,6,60,360,20,3,,,13,7,RS8,MX,"MX, MX"
AF121,57-903-1-1,,15-453-4-2,6,,4,0,,0,0,,6,36,216,9,4,,,8,2,VNA,MX,MX
AF1210,11-909-4-1,07-106-2-9,"09-407-3-1, 22-467-2-1, 22-472-2-1, 22-477-1-1",6,4,"57, 32, 32, 32",0,0,"0, 0, 0, 0",0,0,6,32,192,8,4,24,12,8,2,009,MA,"MA, MA, MA, MA"
AF1211,15-909-4-1,,02-485E,7,,11,0,,0,0,,6,40,240,8,5,,,9,3,VNA,CN,CN
AF1212,41-257E,,20-471-4-2,6,,1,0,,0,0,,6,54,324,9,6,,,10,4,VNA,DE,DE
AF1214,,02-321-2-2,09-456-5-1,,24,30,,0,0,,0,1,270,270,18,15,32,16,,,009,,
AF1216,16-907-1-1,,02-774F,8,,4,0,,0,0,,6,48,288,12,4,,,10,4,VNA,,
AF1217,66-906-3-3,,14-414-1-2,9,,5,0,,0,0,,6,36,216,9,4,,,14,8,VNA,GB,GB
AF122,19-901-1-1,,02-446I,5,,10,0,,0,0,,6,36,216,9,4,,,8,2,VNA,MX,MX
AF1220,10-903-4-1,,12-143L,10,,24,0,,0,0,,6,60,360,20,3,,,16,10,VNA,MX,MX
AF1221,62-905-2-2,,15-410-2-2,0,,7,0,,0,0,,6,36,216,9,4,,,8,2,VNA,CN,CN
AF1222,20-903-5-1,,19-454-3-1,4,,21,0,,0,0,,6,40,240,20,2,,,10,4,VNA,MX,MX
AF1227,02-920-4-5,,17-056F,6,,28,0,,0,0,,6,39,234,13,3,,,12,6,VNA,CN,CN
AF1232,09-907-1-1,,"01-110D, 01-116D, 04-116A",11,,"48, 48, 34",0,,"0, 0, 0",0,,6,64,384,16,4,,,15,9,VNA,KR,"TW, KR, TW"
AF1233,41-430D,11-452-3-1,"18-030D, 18-042C",4,15,"18, 12",0,0,"0, 0",0,0,6,18,108,6,3,108,0,14,2,2DF,MA,"MA, MA"
AF1234,23-906-1-2,,15-429-3-1,5,,3,0,,0,0,,6,18,108,6,3,,,8,2,VNA,MA,MA
AF1240,02-912-3-8,,02-765I,19,,12,0,,0,0,,6,70,420,14,5,,,30,18,VNA,KR,KR
AF1243,02-914-4-4,11-468-6-2,31-660-1-1,29,70,71,0,0,0,0,0,6,90,540,15,6,540,270,30,18,2DF,KR,TW
AF1246,14-907-5-1,,03-114B,15,,18,2,,0,0,,6,27,162,9,3,,,18,12,VNA,MX,MX
AF1247,,02-331-2-4,"09-454-5-1, 48-653-1-1",,20,"102, 720",,0,"0, 0",,0,1,120,120,40,3,33,17,,,009,,
AF1248,55-901-1-1,,20-472-4-1,6,,10,0,,0,0,,6,40,240,20,2,,,8,2,VNA,CN,CN
AF1249,09-901-4-1,,17-103D,15,,29,0,,0,0,,6,54,324,9,6,,,18,12,VNA,KR,KR
AF125,41-250E,,"17-013C, 17-064C",5,,"12, 12",0,,"0, 0",0,,4,18,72,6,3,,,6,2,RS6,MX,"MX, MX"
AF1254,13-901-1-1,,02-765C,14,,6,2,,0,0,,6,54,324,9,6,,,18,12,VNA,BG,BG
AF1256,09-904-5-1,,"02-566G, 02-774I, 99-999Z",7,,"6, 14, 1",0,,"0, 0, 1",6,,6,60,360,12,5,,,14,8,VNA,CN,"CN, CN, CN"
AF1257,02-910-4-4,,02-646E,35,,25,1,,0,0,,6,85,510,17,5,,,36,18,VNA,MX,MX
AF1258,13-903-2-1,,18-033A,12,,6,1,,0,0,,6,72,432,12,6,,,16,10,VNA,CN,CN
AF1264,41-226D,,20-476-5-1,9,,3,0,,0,0,,6,78,468,13,6,,,11,5,VNA,CN,CN
AF1265,41-510E,,20-473-5-1,2,,9,0,,0,0,,6,45,270,9,5,,,8,2,VNA,CN,CN
AF1267,13-909-1-1,,"19-273C, 19-390E",7,,"6, 6",0,,"0, 0",0,,6,64,384,16,4,,,10,4,VNA,KR,"CN, KR"
AF1269,41-443E,,02-346B,10,,9,0,,0,0,,6,65,390,13,5,,,14,8,RS2,CN,CN
AF127,23-909-2-1,,"17-454-2-1, 20-471-3-2",7,,"12, 2",0,,"0, 0",0,,6,12,72,4,3,,,8,2,VNA,MX,"MX, MX"
AF1270,17-910-4-3,,02-282C,7,,9,0,,0,0,,6,96,576,16,6,,,12,6,VNA,CN,CN
AF1273,41-448E,,03-188F,9,,25,0,,0,0,,6,40,240,10,4,,,14,8,RS4,MX,MX
AF1274,42-276E,,"02-502A, 03-192E",9,,"12, 5",0,,"0, 0",0,,6,36,216,12,3,,,12,6,RS4,MX,"MX, MX"
AF1276,47-303E,,02-190B,5,,20,0,,0,0,,6,392,2352,49,8,,,9,3,RS2,TW,TW
AF1278,61-903-2-4,,15-407-3-1,6,,14,0,,0,0,,6,40,240,20,2,,,8,2,VNA,CN,CN
AF1281,12-904-4-1,,"19-382F, 19-421I",12,,"27, 19",1,,"0, 0",0,,6,57,342,19,3,,,14,8,VNA,MX,"MX, MX"
AF1285,02-920-4-6,,"14-014A, 18-028A, 18-091D",11,,"24, 24, 17",0,,"0, 0, 0",0,,6,54,324,9,6,,,12,6,VNA,CN,"TW, TW, TW"
AF1286,24-910-4-1,,19-452-3-2,9,,23,0,,0,0,,6,36,216,9,4,,,14,8,VNA,DE,DE
AF1287,21-910-5-2,,20-477-6-2,4,,6,0,,0,0,,6,55,330,11,5,,,8,2,VNA,CN,CN
AF1290,43-476E,06-145-2-1,"09-456-4-1, 19-246G",12,7,"25, 13",0,0,"0, 0",0,0,6,44,264,11,4,42,24,16,10,009,MX,"MX, MX"
AF1291,41-474E,07-108-2-6,"09-428-5-1, 18-138F",37,3,"33, 18",0,1,"2, 0",0,2,6,44,264,11,4,30,18,36,18,009,KR,"KR, KR"
AF1292,65-902-5-1,,15-410-3-2,11,,3,0,,0,0,,6,40,240,8,5,,,8,2,VNA,AT,AT
AF1295,16-907-3-1,07-164-2-2,"09-421-2-2, 20-473-6-2",9,2,"77, 31",0,0,"0, 0",0,0,6,48,288,12,4,36,18,10,4,009,MA,"MA, MA"
AF1296,41-419D,,17-080C,12,,47,0,,0,0,,6,72,432,12,6,,,14,8,RS6,MA,MA
AF1297,10-909-5-3,,17-027D,11,,42,0,,0,0,,6,72,432,12,6,,,16,10,VNA,MX,MX
AF1299,09-908-5-1,,"09-416-3-2, 19-274C",9,,"10, 10",0,,"0, 0",0,,6,42,252,6,7,,,15,9,VNA,MX,"MX, MX"
AF129K,,02-319-2-1,"02-430A, 09-459-2-1",,48,"130, 155",,12,"0, 46",,46,1,168,168,42,4,94,47,,,009,,
AF1300,54-908-4-2,,20-475-3-2,6,,6,0,,0,0,,6,48,288,12,4,,,8,2,VNA,KR,KR
AF1301,11-906-2-1,,19-365I,2,,16,2,,1,6,,6,40,240,8,5,,,8,2,VNA,DE,DE
AF1302,17-909-4-1,,19-645F,4,,11,0,,0,0,,6,36,216,9,4,,,8,2,VNA,DE,DE
AF1303,15-906-4-2,07-114-2-4,09-412-3-2,15,6,41,0,0,0,0,0,6,75,450,15,5,48,24,8,2,009,KR,KR
AF1304,07-910-4-4,,"19-474-6-1, 19-474-6-2",3,,"33, 26",0,,"0, 0",0,,6,40,240,8,5,,,8,2,VNA,TW,"TW, TW"
AF1305,12-901-2-2,,17-065D,17,,25,0,,0,0,,6,90,540,18,5,,,20,8,RS6,KR,KR
AF1307,41-442D,,"14-409-6-1, 22-431-2-2",14,,"35, 25",0,,"0, 0",0,,6,78,468,13,6,,,21,9,VNA,KR,"KR, KR"
AF1308,15-903-5-3,,"13-029M, 14-018A, 17-096B",18,,"3, 34, 34",0,,"0, 0, 0",0,,6,60,360,12,5,,,30,18,RS6,KR,"KR, KR, KR"
AF1309,43-425D,,"17-083D, 21-434-4-2, 99-999Z",4,,"17, 24, 1",2,,"0, 1, 1",6,,6,36,216,9,4,,,12,6,RS6,ID,"ID, ID, ID"
AF1313,41-540E,,"17-031E, 18-041E",15,,"21, 11",0,,"0, 0",0,,6,40,240,8,5,,,16,10,RS6,CN,"CN, CN"
AF1314,11-903-5-1,,02-317F,8,,22,0,,0,0,,6,36,216,6,6,,,10,4,VNA,CN,CN
AF1316,10-903-2-1,,18-016A,6,,31,0,,0,0,,6,60,360,20,3,,,12,6,VNA,MX,MX
AF1317,19-905-5-3,07-172-2-8,09-442-3-1,7,9,25,0,1,0,0,0,6,68,408,17,4,60,30,14,8,009,MX,
AF1319,11-902-1-1,,22-459-2-2,13,,45,0,,0,0,,6,76,456,19,4,,,18,12,VNA,MX,MX
AF1320,16-903-5-1,,"02-129B, 99-999Z",1,,"11, 1",0,,"0, 1",6,,6,40,240,8,5,,,8,2,VNA,CN,"CN, CN"
AF1321,14-909-1-3,,02-381E,10,,5,0,,0,0,,6,30,180,6,5,,,12,6,VNA,CN,CN
AF1322,41-437D,,02-325F,7,,13,0,,0,0,,6,72,432,12,6,,,12,6,RS2,MX,MX
AF1325,10-906-4-2,,18-029F,13,,23,1,,0,0,,6,96,576,12,8,,,16,10,VNA,MX,MX
AF1326,,03-130-1-2,"51-620-1-1, 51-624-1-1",,159,"1536, 640",,5,"0, 0",,0,1,128,128,32,4,256,128,,,4DF,MX,"MX, MX"
AF1327,41-272E,,19-456-3-1,8,,6,0,,0,0,,6,21,126,7,3,,,12,6,VNA,CN,CN
AF1329,16-902-1-2,,"22-458-4-1, 22-458-4-2",14,,"80, 45",0,,"0, 0",0,,6,100,600,25,4,,,18,12,VNA,KR,"KR, KR"
AF132K,,03-116-2-1,"09-449-4-2, 09-458-3-1, 09-460-6-1, 52-642-1-1",,17,"108, 90, 7, 180",,4,"0, 0, 0, 0",,0,1,90,90,30,3,17,9,,,009,,
AF1330,07-908-4-1,,02-189A,13,,35,3,,1,6,,6,44,264,11,4,,,18,12,VNA,CN,CN
