Sku,Each Locations,Case Pick Locations,Reserve Locations,Unit Quantity,Case Pick Quantity,Reserve Quantity,Units To Be Picked Quantity,Case Pick To Be Picked Quantity,Reserve To Be Picked Quantity,Unit Replenishment Quantity,Case Pick Replenishment Quantity,Standard Pack Quantity,Packs Per Case,Standard Case Quantity,Packs Per Layer,Layers,Case Pick Maximum,Case Pick Minimum,Unit Maximum,Unit Minimum,Put Away Zone,Active Country Of Origin,Reserve Country Of Origin
20020,61-901-4-1,,02-830G,11,,6,0,,0,0,,6,24,144,6,4,,,12,6,VNA,TW,TW
20021,52-211E,,04-182D,11,,1,0,,0,0,,6,24,144,6,4,,,12,6,RS4,TW,TW
20023,51-414E,,08-184M,6,,3,0,,0,0,,6,60,360,10,6,,,10,4,RS4,TW,TW
20024,52-260E,,02-694C,6,,6,0,,0,0,,6,36,216,9,4,,,8,2,RS4,TW,TW
20025,55-218E,,20-472-6-1,7,,24,0,,0,0,,6,40,240,8,5,,,8,2,VNA,TW,TW
201,51-414D,03-122-1-2,"03-083B, 03-083C, 04-418-6-2, 04-420-1-2",21,44,"29, 36, 36, 32",0,3,"0, 0, 0, 0",0,0,8,36,288,9,4,432,144,24,16,004,,
201-30,51-430D,07-258-1-1,"08-458-3-1, 08-458-4-1, 08-470-1-1, 32-630-1-1",6,49,"36, 36, 36, 100",0,0,"0, 0, 0, 0",0,0,8,36,288,9,4,576,288,12,4,008,,
201-W,51-426C,10-476-2-1,17-476-1-1,10,21,34,0,0,0,0,0,8,36,288,9,4,288,144,12,4,009,,
24-WLK,51-290H,,01-168D,14,,5,0,,0,0,,1,1000,1000,8,125,,,16,8,"01R, EAE, EAW",,
277635 PART,52-469E,,"30-, , , ,",5,,11,0,,0,0,,11,12,132,4,3,,,,,1D1,,
277666 PART,52-455F,,14-420-6-1,6,,10,0,,0,0,,10,27,270,9,3,,,,,VNA,,
278079 PART,52-465E,,15-402-2-2,10,,9,0,,0,0,,11,12,132,4,3,,,,,VNA,,
290144 PART,52-459F,,84-134B,9,,4,0,,0,0,,11,18,198,6,3,,,,,1D1,,
290359 PART,52-447F,,19-477-6-2,8,,4,0,,0,0,,9,12,108,6,2,,,,,VNA,,
293592 PART,52-445E,,18-016B,6,,8,0,,0,0,,9,27,243,9,3,,,,,RS6,,
300-W30,,03-222-2-7,"11-037M, 18-082A",,2,"27, 56",,0,"0, 0",,0,1,60,60,10,6,,,,,009,,
301,51-428D,03-214-2-9,"09-432-4-2, 09-471-4-1, 31-654-1-1, 53-618-1-1",3,1,"22, 46, 143, 216",0,0,"0, 0, 0, 0",0,0,4,36,144,9,4,,,6,2,009,,
301-30,51-434D,03-206-2-1,"09-477-1-2, 31-602-1-1",3,13,"36, 180",0,0,"0, 0",0,0,4,36,144,9,4,,,6,2,009,,
301-CS,51-434E,,01-099C,4,,21,0,,0,0,,4,36,144,9,4,,,6,2,RS2,,
301-W,51-438D,06-209-2-2,"01-061C, 01-066F, 09-465-2-2, 53-625-1-1",2,18,"18, 36, 48, 108",0,0,"0, 0, 0, 0",0,0,4,36,144,9,4,92,48,6,2,009,,
33945P,52-465C,,"01-185D, 14-171B",5,,"212, 117",0,,"0, 0",0,,1,216,216,24,9,,,,,"01R, EAE, EAW",,
34306P,52-425E,,08-050L,1,,118,0,,0,0,,1,810,810,90,9,,,,,RS2,,
34504P,56-467E,,01-165C,20,,117,0,,0,0,,1,1080,1080,120,9,,,20,4,"01R, EAE, EAW",,
38560P,,68-072A,64-096A,,181,160,,0,0,,0,12,80,960,20,4,,,,,1D1,,
38564P,,65-075A,50-688-1-1,,150,136,,0,0,,0,24,60,1440,15,4,,,,,3DF,,
38565C,,80-177A,"64-025A, 66-108A",,6,"101, 51",,0,"0, 0",,0,12,92,1104,23,4,,,,,1D1,,
38565P,,65-064A,"47-654-1-1, 64-067A",,95,"1292, 160",,1,"0, 0",,0,12,92,1104,23,4,,,,,10W,,
38566C,,66-073A,64-045A,,87,11,,0,0,,0,6,60,360,15,4,,,,,2DF,,
38566P,,66-064A,"44-678-1-1, 44-681-1-1, 44-683-1-1, 44-684-1-1",,21,"192, 226, 240, 228",,0,"0, 0, 0, 0",,0,6,60,360,15,4,,,,,2DF,,
38567P,,67-041A,40-691-1-1,,24,282,,0,0,,0,1,48,48,16,3,,,,,4D1,,
404066 MISC,41-570D,,01-143E,43,,80,0,,0,0,,1,8000,8000,10,800,,,40,20,"01R, EAE, EAW",,
43574C,,81-637A,64-128A,,13,10,,0,0,,0,1,36,36,12,3,,,,,2DF,,
460101 PART,51-209G,,"01-, , , ,",0,,1000,0,,1000,0,,1,40000,40000,160,250,,,200,100,"01R, EAE, EAW",,
490323 PART,51-261E,,01-157C,33,,1512,0,,0,0,,1,18000,18000,3000,6,,,200,100,"01R, EAE, EAW",,
490335 PART,51-429E,,01-154D,0,,800,0,,0,0,,1,14000,14000,2000,7,,,200,100,"01R, EAE, EAW",,
500-12,51-438A,,"01-, , , , , 01-188A",0,,"5, 53",0,,"0, 0",0,,1,88,88,4,22,,,6,3,"01R, EAE, EAW",,
500-15,51-212G,,01-189B,6,,118,0,,0,0,,1,2000,2000,20,100,,,10,5,"01R, EAE, EAW",,
